,User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription
0,#1,56,Male,Suburban,38037,Sports,5,7,18,2546,Books,584,38,True
1,#2,46,Female,Rural,103986,Technology,15,7,118,320,Electronics,432,40,False
2,#3,32,Female,Suburban,101942,Sports,28,1,146,3766,Apparel,306,1,True
3,#4,60,Female,Suburban,71612,Fashion,18,3,163,4377,Apparel,527,29,False
4,#5,25,Male,Suburban,49725,Travel,2,5,141,4502,Health & Beauty,53,10,True
5,#6,38,Male,Suburban,25926,Travel,22,8,25,2669,Books,520,28,False
6,#7,56,Male,Urban,124555,Fashion,11,7,152,1113,Home & Kitchen,330,31,True
7,#8,36,Male,Urban,29496,Technology,26,7,108,2151,Apparel,558,19,True
8,#9,40,Male,Rural,76447,Travel,25,6,130,4085,Books,325,3,True
9,#10,28,Male,Urban,121604,Food,13,8,61,4999,Electronics,114,36,False
10,#11,28,Male,Urban,49806,Travel,4,1,78,4410,Health & Beauty,147,43,True
11,#12,41,Male,Rural,108199,Food,22,2,14,3119,Electronics,166,15,False
12,#13,53,Female,Rural,61321,Fashion,7,9,29,3781,Apparel,379,33,True
13,#14,57,Female,Rural,142041,Fashion,29,7,88,1543,Apparel,139,41,True
14,#15,41,Male,Urban,122031,Travel,11,5,155,4296,Electronics,299,43,False
15,#16,20,Male,Urban,85095,Sports,22,9,120,3110,Apparel,276,45,True
16,#17,39,Female,Rural,42656,Food,24,8,11,672,Books,178,26,False
17,#18,19,Male,Suburban,75147,Technology,4,9,102,1432,Apparel,354,16,False
18,#19,41,Male,Rural,111396,Travel,28,3,22,4853,Health & Beauty,154,36,False
19,#20,61,Male,Suburban,69666,Technology,15,7,13,4102,Books,201,33,False
20,#21,47,Female,Suburban,102368,Travel,1,9,179,3234,Home & Kitchen,115,20,True
21,#22,55,Female,Rural,58787,Sports,23,2,118,4186,Apparel,554,13,True
22,#23,19,Female,Rural,133767,Sports,3,2,83,325,Apparel,68,33,False
23,#24,38,Female,Rural,82946,Sports,14,7,198,4300,Health & Beauty,445,5,True
24,#25,50,Female,Urban,41727,Sports,6,4,104,2097,Health & Beauty,445,37,True
25,#26,29,Male,Suburban,128351,Fashion,18,2,114,871,Electronics,326,14,False
26,#27,39,Female,Urban,115081,Fashion,25,9,17,4624,Electronics,359,27,True
27,#28,61,Male,Urban,142721,Food,1,0,76,533,Electronics,145,23,False
28,#29,42,Male,Rural,130058,Technology,6,2,119,3199,Health & Beauty,275,14,True
29,#30,44,Female,Urban,88056,Travel,6,8,18,2829,Electronics,509,40,True
30,#31,59,Female,Rural,23081,Travel,21,4,126,3507,Electronics,179,4,False
31,#32,45,Male,Suburban,54196,Fashion,16,9,20,3240,Home & Kitchen,477,39,True
32,#33,33,Male,Rural,56735,Travel,29,1,108,965,Electronics,414,19,True
33,#34,32,Male,Urban,124749,Fashion,5,6,51,2893,Apparel,153,47,False
34,#35,64,Female,Urban,100102,Food,17,1,150,3011,Health & Beauty,104,4,True
35,#36,61,Female,Rural,99578,Technology,10,3,173,2515,Books,75,30,False
36,#37,20,Female,Rural,45498,Food,28,6,129,350,Home & Kitchen,128,19,True
37,#38,54,Female,Urban,96865,Sports,21,3,150,3857,Health & Beauty,568,31,False
38,#39,24,Female,Suburban,51656,Sports,18,6,21,4756,Health & Beauty,345,31,False
39,#40,38,Male,Suburban,87695,Sports,7,6,46,1018,Apparel,531,9,False
40,#41,26,Female,Rural,57900,Food,3,0,83,1273,Electronics,159,13,False
41,#42,56,Male,Suburban,148392,Travel,13,5,82,3303,Apparel,538,14,False
42,#43,35,Male,Urban,137235,Technology,15,8,61,532,Electronics,426,46,True
43,#44,21,Male,Rural,104899,Sports,20,1,139,935,Electronics,23,10,True
44,#45,42,Female,Urban,67701,Sports,19,2,65,2346,Health & Beauty,47,48,False
45,#46,31,Female,Urban,128777,Sports,3,9,69,2362,Electronics,525,31,True
46,#47,26,Female,Suburban,39033,Technology,4,4,32,997,Home & Kitchen,144,37,False
47,#48,43,Male,Rural,143193,Sports,5,8,112,3732,Home & Kitchen,585,23,True
48,#49,19,Male,Rural,30805,Technology,1,3,49,4667,Home & Kitchen,589,27,True
49,#50,37,Male,Suburban,55851,Sports,4,0,73,3915,Health & Beauty,419,6,False
50,#51,45,Male,Urban,46832,Food,12,3,94,346,Apparel,85,26,False
51,#52,64,Male,Urban,83437,Food,28,5,160,2529,Books,416,2,True
52,#53,24,Male,Urban,135725,Technology,27,4,166,1090,Electronics,482,45,True
53,#54,61,Female,Urban,33944,Food,24,0,188,3410,Books,456,13,False
54,#55,25,Female,Rural,39873,Technology,10,3,98,1026,Apparel,297,19,True
55,#56,64,Female,Rural,60372,Food,23,5,40,3538,Apparel,112,1,True
56,#57,52,Female,Suburban,109464,Food,25,9,187,2707,Health & Beauty,230,40,False
57,#58,31,Male,Suburban,35379,Technology,21,9,29,1174,Home & Kitchen,96,32,True
58,#59,34,Male,Rural,137322,Travel,29,3,192,4122,Home & Kitchen,378,22,False
59,#60,53,Female,Rural,56751,Food,26,8,139,3899,Apparel,156,48,False
60,#61,57,Male,Urban,120082,Sports,20,4,162,4884,Health & Beauty,421,29,False
61,#62,21,Female,Urban,109822,Travel,24,7,22,3251,Health & Beauty,105,2,True
62,#63,19,Female,Suburban,25110,Technology,25,8,131,3538,Electronics,330,40,True
63,#64,23,Female,Rural,74341,Travel,13,9,112,4673,Home & Kitchen,439,38,False
64,#65,59,Male,Suburban,32087,Fashion,23,4,115,3591,Apparel,132,48,False
65,#66,21,Female,Rural,43762,Fashion,14,5,128,806,Books,382,11,True
66,#67,46,Female,Urban,135812,Food,23,0,79,3164,Home & Kitchen,138,17,True
67,#68,35,Female,Suburban,102617,Food,5,6,195,853,Electronics,270,43,True
68,#69,43,Male,Suburban,120483,Sports,4,3,108,687,Health & Beauty,550,8,False
69,#70,61,Male,Rural,29596,Travel,14,1,91,1434,Apparel,396,22,False
70,#71,51,Female,Urban,123555,Fashion,10,4,84,1947,Home & Kitchen,557,4,True
71,#72,27,Male,Suburban,127539,Food,17,2,127,4034,Books,464,11,True
72,#73,53,Male,Urban,38313,Travel,10,5,93,4026,Electronics,450,8,True
73,#74,31,Male,Suburban,133175,Food,26,7,78,3417,Electronics,331,9,False
74,#75,48,Male,Urban,86549,Food,7,6,68,4120,Home & Kitchen,253,26,False
75,#76,32,Male,Rural,134914,Fashion,16,2,197,3255,Books,285,2,True
76,#77,25,Male,Suburban,43705,Fashion,1,7,135,4402,Electronics,274,16,True
77,#78,31,Male,Suburban,87364,Food,17,1,120,2298,Apparel,20,31,False
78,#79,40,Male,Urban,93445,Technology,21,9,71,264,Electronics,239,6,False
79,#80,57,Male,Urban,123892,Food,29,8,153,2098,Books,270,21,True
80,#81,38,Male,Suburban,98645,Food,9,3,137,3157,Health & Beauty,418,26,True
81,#82,33,Female,Rural,22023,Sports,6,0,114,2184,Health & Beauty,310,19,True
82,#83,62,Female,Urban,139654,Sports,19,7,77,4528,Home & Kitchen,31,28,False
83,#84,35,Male,Urban,79796,Sports,13,6,24,502,Books,104,8,True
84,#85,64,Female,Urban,100073,Technology,3,4,192,513,Electronics,186,14,False
85,#86,41,Female,Suburban,112197,Technology,7,9,44,144,Electronics,128,24,False
86,#87,43,Male,Suburban,84429,Food,22,4,192,4257,Health & Beauty,210,48,True
87,#88,42,Male,Suburban,124195,Sports,9,6,23,2567,Health & Beauty,414,44,True
88,#89,62,Male,Suburban,81627,Technology,22,4,186,967,Apparel,281,37,False
89,#90,58,Female,Rural,53848,Fashion,5,7,111,118,Health & Beauty,253,26,True
90,#91,46,Female,Rural,57804,Food,10,5,109,464,Apparel,19,31,False
91,#92,32,Male,Suburban,35379,Travel,23,4,16,3932,Electronics,136,32,True
92,#93,62,Male,Rural,79664,Food,17,8,39,679,Apparel,223,41,True
93,#94,18,Male,Urban,47766,Travel,12,1,58,645,Apparel,3,2,True
94,#95,42,Female,Urban,129126,Sports,23,0,153,4250,Home & Kitchen,236,25,True
95,#96,24,Female,Urban,88099,Travel,16,7,120,4973,Health & Beauty,465,44,False
96,#97,26,Female,Suburban,56060,Sports,3,2,188,3139,Apparel,228,2,False
97,#98,41,Female,Urban,114733,Fashion,25,6,81,4237,Electronics,499,42,False
98,#99,18,Male,Rural,89122,Travel,22,9,89,4144,Books,521,1,True
99,#100,61,Male,Suburban,36087,Food,9,7,92,4426,Apparel,139,36,False
100,#101,25,Male,Rural,68868,Sports,29,5,51,552,Health & Beauty,276,12,False
101,#102,41,Male,Urban,139119,Food,15,9,26,4061,Home & Kitchen,291,9,False
102,#103,28,Female,Urban,43225,Technology,5,8,182,1481,Electronics,53,36,True
103,#104,34,Female,Urban,115286,Sports,23,6,16,1567,Home & Kitchen,110,41,False
104,#105,25,Male,Suburban,26643,Travel,13,9,164,2838,Books,4,28,True
105,#106,52,Male,Rural,113059,Sports,14,4,19,1316,Apparel,47,38,True
106,#107,52,Female,Suburban,56727,Food,20,7,43,980,Apparel,94,33,False
107,#108,50,Male,Suburban,31005,Fashion,15,1,45,3914,Health & Beauty,560,42,True
108,#109,22,Female,Urban,129079,Sports,16,6,162,3249,Apparel,213,46,False
109,#110,59,Male,Suburban,85697,Travel,23,3,15,184,Electronics,436,22,False
110,#111,56,Male,Suburban,36029,Technology,13,8,161,4244,Books,508,25,False
111,#112,58,Male,Urban,135281,Fashion,17,0,155,1268,Home & Kitchen,205,18,False
